Key,he,en,ar
DOT_6_HEADER,"""ציור נוף""",Early Landscape,رسمة منظر طبيعي
DOT_6_TEXT,"ב-5 באוגוסט 1473 סיים לאונרדו רישום דיו של נוף טוסקני בסביבת נהר האַרְנוֹ שלידו גדל.
העתק גדול ממדים של הרישום, עם הסבר מפורט לגביו, מצוי בתערוכה באזור ""אנלוגיות בטבע"".","On August 5th, 1473, Leonardo completed an ink drawing of a Tuscan landscape in the region of the Arno river, near which he 
was raised. A large scale reproduction of the the drawing appears over the Analogies in Nature area of the Exhibition","في 5 أغسطس 1473، أكمل ليوناردو رسماً بالحبر لمنظر طبيعي في توسكانا بالقرب من نهر أرنو الذي نشأ فيه.
يمكن العثور على نسخة كبيرة الأبعاد لهذا الرسم، مع شرح مفصل في المعرض في المنطقة ""تشابهات في الطبيعة""."
DOT_7_HEADER,לאונרדו המוזיקאי,Leonardo the musician,ليوناردو الموسيقي
DOT_7_TEXT,"נוסף על כישוריו האחרים לאונרדו הצטיין כנגן Lirra da Braccio – כלי מיתר הדומה מעט לכינור של ימינו.
הוא אף תכנן ובנה לעצמו גרסאות מיוחדות של כלי נגינה זה. בזכות כישוריו המוזיקליים הגיע לאונרדו
למילאנו ב-1482 עם משלחת מפירנצה, ונהיה חלק מחצרו של דוכס מילאנו, לודביקו ספּוֹרצֶה.","In addition to his other skills Leonardo excelled at playing the Lira da Braccio – a string instrument similar to the modern violin.
He even designed and built himself unique versions of it. Thanks to his musical abilities Leonardo arrived in Milan in 1482
with a delegation from Florence. Once there, he joined the court of the Duke of Milan, Ludovico Sforza.","بالإضافة إلى مواهبه الأخرى برع ليوناردو كعازف لليرا- Lirra da Braccio، وهي آلة موسيقية تشبه إلى حد ما
الكمان المعروف اليوم. حتى أنه صمم وقام  ببناء إصدارات خاصة من هذه الآلة الموسيقية. بفضل مواهبه الموسيقية،
وصل ليوناردو إلى ميلانو عام 1482 مع وفد من فلورنسا وأصبح جزءاً من باحة دوق ميلان لودوفيك سفورزا."
DOT_8_HEADER,השלמת השכלה,Completing his education,إكمال تعليمه
DOT_8_TEXT,"בתקופתו במילאנו החל לאונרדו להשלים את השכלתו הכללית וידיעותיו, התחיל ללמוד לטינית וקרא טקסטים
""קלאסיים"" מהעת העתיקה. במהלך חייו נעזר לאונרדו במורים מומחים מהם למד ואיתם שיתף פעולה,
וגיבש ספרייה מרשימה של יותר מ-100 ספרים בנושאים מגוונים.","During his time in Milan Leonardo began to complete his general education. He began to learn Latin and read ‘classical’ antique texts.
Throughout his life, Leonardo was assisted by expert teachers from whom he learned and who he collaborated with, 
and he amassed an impressive library of over 100 books on varied topics.","خلال فترة تواجده في ميلانو، بدأ ليوناردو بإستكمال تعليمه ومعرفته العامة وبدأ في دراسة اللاتينية وقراءة
النصوص ""الكلاسيكية"" من العصور القديمة. إستعان ليوناردو خلال حياته بمدرسين خبراء تعلم منهم وتعاون معهم.
خلال حياته، جمع ليوناردو مكتبة رائعة تضم أكثر من 100 كتاب حول مواضيع متنوعة."
DOT_9_HEADER,מכונות מעופפות,Flying machines,الآلات الطائرة
DOT_9_TEXT,"בשנותיו במילאנו עסק לאונרדו רבות בתכנון מכונות מעופפות שהתבססו על תצפיותיו בציפורים ונסמכו על כישוריו ההנדסיים.
איננו יודעים אם לאונרדו אכן ערך ניסוי ממשי כלשהו בתחום תעופת האדם.
עוד על עיסוקו של לאונרדו בנושא התעופה תוכלו ללמוד באזור ""אנלוגיות בטבע"" של התערוכה.","During the years he was in Milan Leonardo was very engaged with designing flying machines relying on his observations of birds 
and on his engineering skills. We do not know if Leonardo conducted an actual experiment in human flight.
You can learn more about Leonardo’s work on aviation in the Analogies in Nature area of the Exhibition.","خلال سنوات عمله في ميلانو، شارك ليوناردو في تصميم آلات الطيران بناءاً على مشاهداته للطيور ومهاراته الهندسية.
لا نعرف ما إذا كان ليوناردو قد أجرى بالفعل أيّ تجربةٍ حقيقية في مجال الطيران البشري.
يمكنك معرفة المزيد عن أعمال الطيران لليوناردو في قسم ""النظائر/ التشابهات في الطبيعة"" من المعرض."
DOT_10_HEADER,תכנון פסל סוס ענק (1494-1489),Leonardo's Horse (1489 – 1494),تصميم ثمثال حصان ضخم (1489-1494)
DOT_10_TEXT,"בשנת 1493 הציג לאונרדו דגם חימר בגודל מלא (כ-7 מטרים) של פסל שיועד לזיכרו של פרנצ'סקו ספורצה, אביו של דוכס מילאן.
הפסל הסופי, מארד,  מעולם לא נוצק עקב פלישת צרפת לדוכסות.
משקולת ראש הסוס שמאחוריכם מבוססת על רישום של לאונרדו לקראת יציקת פסל הארד.","In 1493 Leonardo presented a full-size (7 meter) clay model of a statue in memory of Francesco Sforza, the Duke of Milan’s father.
The final statue was meant to be of bronze, but it was never cast as France invaded the Duchy of Milan and the bronze was 
used for cannons. The horse head weight behind you is based on a sketch Leonardo prepared for the casting of the statue.","في عام 1493، قدم ليوناردو نموذجاً من الصلصال (صخر طيني) بالحجم الكامل (حوالي 7 أقدام) لتمثال لذكرى فر
انشيسكو سبورازا، والد دوق ميلانو. التمثال النهائي المصنوع من البرونز، لم يتم صبه أبداً بسبب غزو فرنسا للدوقية.
تعتمد كتلة رأس الحصان الذي يقف خلفكم على تسجيل ورسم ليوناردو لقوالب التمثال البرونزي."
DOT_11_HEADER,"רישום ""האדם הוויטרובי"" (1492)",The Vitruvian Man  (1492),"تسجيل ""الإنسان الفيتروفي"" (1492)"
DOT_11_TEXT,"ויטרוביוס, האדריכל הרומאי, טען שאדם בעל פרופורציות מושלמות אפשר לשרטט בו בזמן בתוך מעגל
שמרכזו יושב על טבורו של האדם, ובתוך ריבוע.
לאונרדו פתר את החידה הקדומה בכך שהוסיף זוג ידיים וזוג רגליים הַמְּשַׁקְּפִים את תפיסתו של האדם כיצור דינמי ומלא חיוּת.","Vitruvius, the Roman architect, claimed that a man with perfect proportions can be sketched within a circle at the center
of which is the man’s navel, and within a square. Leonardo solved the ancient riddle by adding a pair of arms 
and a pair of legs that reflect his view of man as a dynamic, lively creature.","ادعى فيتروفيو، المهندس المعماري الروماني، أنه يمكن رسم رجل ذو أبعاد مثالية في آنٍ واحدٍ في دائرة يقع مركزها
على سُرَّة الرجل وداخل مربع أيضاً. قام ليوناردو بحل هذا اللغز القديم عن طريق إضافة زوج آخر من الأيدي
والأرجل الّتي تعكس تصور الإنسان لمخلوق ديناميكي يفيض بالحياة."
DOT_12_HEADER,"איורים ל""פרופורציה האלוהית"" (1498-1496)",Illustrations for The Divine Proportion,"رسومات توضيحية لـ ""النسبة الإلهية"" (1498-1496)"
DOT_12_TEXT,"ב-1496 הגיע למילאנו הנזיר הפרנציסקני והמתמטיקאי הידוע לוּקה פצ'יולי. הוא ולאונרדו התחברו, ולאונרדו אייר
את ספרו של פצ'יולי ""הפרופורציה האלוהית"", לרבּות סדרה מפורסמת של איורי פְּאוֹנִים משוכללים.
ההיכרות בין השניים הובילה את לאונרדו להתעמק בגיאומטריה, אותה חָקַר כל חייו.","In 1496 Luca Pacioli, the famous Franciscan monk and mathematician, arrived in Milan and was introduced to Leonardo.
As a result of their meeting, Leonardo illustrated his book, The Divine Proportion, including a famous series of 
complex polyhedrons. The collaboration between the two led Leonardo to a lifelong study of geometry.","في عام 1496، وصل راهب الفرنسيسكان وعالم الرياضيات لوكا باشيولي إلى ميلانو. تعاون هو و ليوناردو،
وقام ليوناردو برسم كتاب باشيولي المعنون ""النسبة الإلهية"" بالاضافة إلى سلسلة شهيرة من الرسومات التوضيحية متعددة
المقامات المعقدة. أدى التعارف بين الاثنين الى تعمق ليوناردو في الهندسة، الّتي قام ببحثها طوال حياته."
DOT_13_HEADER,קודקס מדריד,Madrid Codices,"""مخطوطة مدريد"""
DOT_13_TEXT,"הַמַּחְבָּרוֹת הַמְּכֻנּוֹת כיום קודקס מדריד I (1498-1493) וקודקס מדריד II (1505-1493), אותן החל לאונרדו בתקופתו במילאנו,
התמקדו בחֵקֶר רכיבים מכאניים בסיסיים ואיור מנגנונים חדשניים.
הרישומים לרבּים מהמוצגים המכאניים בקומה זו של התערוכה מופיעים בקודקסים אלה.","The notebooks currently known as Codex Madrid I (1493 – 1498) and Codex Madrid II (1493 – 1505) were begun by
Leonardo during his Milan period. They focus on studies of basic mechanic components and drawings of 
innovative mechanisms. The sketches for many of the mechanical exhibits on this floor appear in these codices.","يشار إلى الدفاتر المعروفة اليوم باسم مخطوطة ""مدريد"" الأولى (1493-1498) ومخطوطة مدريد الثانية (1505-1493)،
اللذين بدأهما ليوناردو خلال فترة وجوده في ميلانو وركز فيهما على دراسة المكونات الميكانيكية الأساسية وتوضيح الآليات
المبتكرة. تظهر الرسومات الخاصة للعديد من المعروضات الميكانيكية في هذا المعرض في هذه المخطوطات."
DOT_14_HEADER,"""הסעודה האחרונה""",The Last Supper,"""العشاء الأخير"""
DOT_14_TEXT,"בין השנים 1498-1495 צייר לאונרדו בחדר האוכל במנזר שבמילאנו את סצינת ""הסעודה האחרונה"" המפורסמת.
ציור הקיר הוזמן על-ידי הדוכס ספורצה, אשר גילה חוסר סבלנות נוכח איטיוּת מלאכתו של לאונרדו.
קסמו של הציור נובע משימוש חכם בחוקי הפרספקטיבה, ומאופן הצבת הדמויות עם מחווֹת מותאמות לאופי של כל אחת מהן.","Between 1495 and 1498 Leonardo painted the famous scene of the Last Supper in the refrectory of a convent in Milan.
The wall painting was commissioned by Ludovico Sforza, who grew impatient with the slow pace of Leonardo’s work.
The painting is famous for its clever use of the laws of perspective, and in the way the apostles are positioned with gestures typical of each one’s character.","من عام 1495 إلى 1498، رسم ليوناردو في غرفة الطعام في دير في ميلانو مشهد ""العشاء الأخير"" الشهير.
تم طلب اللوحة الجدارية من قبل الدوق سفورازا الذي أثار سخطه بسبب بطء عمله. يعود سحر اللوحة الى الاستخدام
الذكي لقوانين المنظور والطريقة التي يتم بها تقديم الشخصيات مع الإيماءات المصممة حسب طابع كل منها."
DOT_15_HEADER,"""מהנדס צבאי"" (1502-חורף 1503)",Military Engineer (1502 – winter of 1503),مهندس عسكري (شتاء 1502-1503)
DOT_15_TEXT,"כמחווה של שלטונות פירנצה נשלח לאונרדו לסייע, כמהנדס צבאי,
לסזאר בורג'יה הערמומי והאכזר שעמד בראש צבאות האפיפיור במסעות הכיבוש שלו.
לאונרדו תכנן עבורו בין השאר גשר מאולתר מקורות עץ (ראו מוצג ""גשר לאונרדו"" בתערוכת ""למה בניינים לא נופלים"" בקומה זו).","As a gesture by the governors of Florence, Leonardo was sent as a military engineer to assist the cruel and cunning
Cesare Borgia who commanded the Pope’s military forces. Leonardo designed a makeshift bridge for him built of 
wooden logs (see the Leonardo’s Bridge exhibit in the Why Don’t Buildings Fall?  Exhibition on this floor).","تكريماً لسلطات فلورنسا، تم إرسال ليوناردو للمساعدة، كمهندس عسكري إلى سيزار بورجيا الماكر والقاسي والذي ترأس
الجيوش البابوية في حملاته. صمم ليوناردو له، من بين العديد من الأشياء الأخرى، جسر شعاع خشبي مرتجل
(انظروا معروضة ""جسر ليوناردو"" في معرض ""لماذا لا تسقط المباني"" في هذا الطابق)."
DOT_16_HEADER,לאונרדו ומקיאוולי,Leonardo and Machiavelli,ليوناردو ومكيافيلي
DOT_16_TEXT,"בזמן ששירת את סזאר בורג'יה (1502-חורף 1503), לאונרדו שיתף פעולה עם המדינאי והסופר המפורסם ניקולו
מקיאוולי שהתלווה גם הוא לבורג'יה כנציג העיר פירנצה.
בין השאר תכננו השניים להטות את נהר הארנו סביב העיר פיזה, יריבתה של פירנצה.","While serving under Cesare Borgia (from 1502 until the winter of 1503), Leonardo collaborated with famous
statesman and author Niccolo Machiavelli, who was also accompanying Borgia as a representative of Florence.
Among other things the two planned to divert the river Arno around the city of Pisa, Florence’s rival.","أثناء خدمته لسيزار بورجيا (شتاء 1502-1503)، تعاون ليوناردو مع رجل الدولة الشهير والمؤلف نيكولو
مكيافيلي، الذي رافق بورجيا أيضاً كممثل للمدينة في فلورنسا.
من بين غيرها من الأشياء الأخرى، خطط الاثنان لإزاحة جريان نهر أرنو حول مدينة بيزا المنافسة لفلورنسا."
DOT_17_HEADER,"ה""מונה ליזה""",The Mona Lisa,"""الموناليزا"""
DOT_17_TEXT,"במהלך 1504 התחיל לאונרדו לצייר את ה""מונה ליזה"", פורטרט של ליזה ג'ררדיני, אישתו של פרנצ'סקו דל ג'וקונדו,
סוחר בדים מפירנצה. לאונרדו המשיך לעבוד על ציור זה עד ערוב ימיו.
עוד על ה""מונה ליזה"" תוכלו ללמוד במוצג ""איך לצייר פרספקטיבה אווירית?""","Leonardo began to paint the Mona Lisa in 1504. It is a portrait of Lisa Gherardini, wife of Francesco del Giocondo,
a cloth merchant from Florence. Leonardo continued to work on this painting untill the end of his life.
You can learn more about the Mona Lisa in the How to Draw an Aerial Perspective exhibition.","خلال عام 1504، بدأ ليوناردو في رسم لوحة ""الموناليزا""، وهي رسمة شخصية لليزا جيرارديني، زوجة فرانشسكو
ديل جيوكوندو، تاجر ملابس من فلورنسا. واصل ليوناردو العمل على الموناليزا حتى نهاية حياته.
يمكنك معرفة المزيد عن الموناليزا في المعروضة ""كيفية رسم منظور الجو؟"""
DOT_18_HEADER,לאונרדו ומיכאלאנג'לו (1504),Leonardo and Michelangelo,ليوناردو ومايكل أنجيلو (1504)
DOT_18_TEXT,"בפירנצה, הוזמנו לאונרדו ומיכאלאנג'לו, שהיה צעיר ממנו ב-20 שנה, לצייר שני קרבות מתולדות העיר.
הציורים לא שרדו, אבל עותקים מהם מציגים את הבדלי הסגנונות בין שני האומנים.
לאונרדו גם היה שותף בדיון שעסק במיקום פְּסְלוֹ המפורסם של מיכאלאנג'לו – דָּוִד.","In Florence, Leonardo and Michelangelo – who was twenty years younger – were invited to paint two of the city's historic
battles. The paintings did not survive, but copies made of them show the stylistic differences between the two artists.
Leonardo also took part in the discussions regarding where to locate Michelangelo's famous statue – David.","في فلورنسا، تمت دعوة ليوناردو ومايكل انجلو، الذي كان أصغر منه ب 20 عامًا، لرسم معركتين من تاريخ المدينة.
لم تنجو اللوحات، لكن نُسخ منها توضح اختلافات الأساليب بين الفنانين. كان ليوناردو أيضاً شريكاً
في المناقشة الّتي تخصصت بموقع تمثاله الشهير لمايكل أنجيلو- دافيد."
DOT_19_HEADER,הקודקס על תעופת ציפורים,The Codex on the Flight of Birds,"""مخطوطة تحليق الطيور"""
DOT_19_TEXT,"חוסר היציבות הפוליטית במילאנו הניע את לאונרדו לחזור לפירנצה בשנת 1500.
בין השנים 1506-1503 חיבר לאונרדו קודקס המתאר את תובנותיו בנושא תעופת הציפורים ותכנון של רכיבים
לבניית מכונה מעופפת. אפשר לעיין בגרסה דיגיטלית של הקודקס באזור ""אנלוגיות בטבע"" שבתערוכה.","The lack of political stability in Milan drove Leonardo to return to Florence in the year 1500. Between 1503 and 1506 
Leonardo wrote a treaty describing his insights on the flight of birds and the components for building a flying machine.
A digital version of the Codex can be viewed in the Analogies in Nature area of the Exhibition.","عدم الاستقرار السياسي في ميلانو دفع ليوناردو للعودة إلى فلورنسا في عام 1500. بين عامي 1503-1506،
كتب ليوناردو مخطوطة  يصف رؤيته حول طيران الطيور وتصميم مكونات لتصنيع آلات الطيران.
يمكن الاطلاع على نسخة رقمية من المخطوطة في قسم ""النظائر/ التشابهات في الطبيعة"" من المعرض."
DOT_20_HEADER,קודקס לסטר,Codex Leicester,"""مخطوطة ليستر"""
DOT_20_TEXT,"בעשור הראשון של המאה ה-16 (1508-1502) חיבר לאונרדו קודקס קצר הַמֻּכָּר כיום כקודקס לסטר.
קודקס זה מתמקד בזרימת מים וגיאולוגיה, ואף בהשערותיו של לאונרדו בנוגע לאור הירח!
עוד על גילויו של לאונרדו בתחום המאובנים תוכלו ללמוד במוצג ""איך נוצר מאובן?"" באזור ""אנלוגיות בטבע"" של התערוכה.","During the first decade of the 16th century (1502 to 1508) Leonardo wrote a treatise known now as Codex Leicester.
The Codex focuses on the flow of water and geology, and also on Leonardo’s assumptions regarding moonlight.
More on Leonardo’s discoveries on fossils can be seen in the exhibition How are Fossils Formed? in the Analogies in Nature area of the exhibition.","في العقد الأول من القرن السادس عشر (1502-1508)، كتب ليوناردو مخطوطة قصيرة تُعرف اليوم بإسم مخطوطة
ليستر والتي تركز على تدفق المياه والجيولوجيا وصولا الى فرضيات ليوناردو حول ضوء القمر! يمكنك معرفة المزيد
عن إكتشافات ليوناردو في مجال الأحفوريات في ""كيف تتكون الأحفوريات؟"" في قسم التشابه في الطبيعة في المعرض."
DOT_21_HEADER,אריה מכאני ראשון (1509),First Mechanical Lion (1509),أسد ميكانيكي أول (1509)
DOT_21_TEXT,"ממקורות מתקופתו של לאונרדו ואחריה אנו למדים שלאונרדו תכנן וגם בנה במרוצת השנים שלושה אריות מכאניים שונים
לכבוד מופעים חגיגיים. לצערנו, רישומיו של לאונרדו לאריות לא שרדו.
האריה הראשון נבנה לכבוד כניסתו של המלך הצרפתי לואי ה-XII לעיר מילאנו, אליה שב לאונרדו ב-1506.","We know from sources contemporary to  Leonardo’s lifetime, as well as  later sources, that during his lifetime Leonardo 
designed and built three different mechanical lions for special pageants. Unfortunately, Leonardo’s designs of the lions 
did not survive. The first lion was built in honor of French King Louis XII’s visit to Milan, to which Leonardo returned in 1506.","من مصادر حقبة ليوناردو وما بعدها، تعلمنا أن ليوناردو قام أيضاً بتصميم وبناء ثلاثة أسود ميكانيكية مختلفة على مدار
السنين تكريماً لعروض إحتفالية مختلفة. لسوء الحظ، لم تنجو رسومات ليوناردو للأسود. تم بناء الأسد الأول على شرف
وصول الملك الفرنسي لويس الثاني عشر إلى مدينة ميلانو، والذي عاد إليها ليوناردو في عام 1506."
DOT_22_HEADER,מחקרים אנטומיים מאוחרים,Later anatomical studies,أبحاث تشريحية متأخرة
DOT_22_TEXT,"לאונרדו חזר וחקר אנטומיה בכלל, ואת האנטומיה האנושית בפרט, בתקופות שונות בחייו.
בין השנים 1513-1508 הגיע לאונרדו להישגיו הגדולים ביותר בתחום זה, במיוחד בחֵקֶר הלב.
תוכלו ללמוד על כך עוד באזור ""אנלוגיות בטבע"" בתערוכה.","Leonardo studied anatomy in general and especially human anatomy, at various periods of his life.
Between 1508 and 1513 Leonardo reached his greatest achievements in this field, especially in the study of the heart.
You can learn more about this in the Analogies in Nature area of the Exhibition.","كان ليوناردو يبحث في علم التشريح بشكل عام، وعلم التشريح البشري بشكل خاص، في أوقات مختلفة من حياته.
خلال الفترة ما بين 1508 و 1513، حقق ليوناردو أعظم إنجازاته في هذا المجال، وخاصة في مجال أبحاث القلب.
يمكنك معرفة المزيد عن هذا في المعرض في القسم ""النظائر/التشابهات في الطبيعة""."
DOT_23_HEADER,"""מראות ומתחים"" (1515-1514)",Mirrors and Quarrels (1514 – 1515),"""مرايا وتوترات"" (1514-1515)"
DOT_23_TEXT,"בתקופתו ברומא, כששירת את ג'וליאנו דה מדיצ'י, אחיו של האפיפיור ליאו ה-X, חקר לאונרדו את האופטיקה
של מראות וטכניקות של ייצורן. כתביו מאותה תקופה מְסַפְּרִים על מתיחוּת וסכסוכים בינו ובין אחד מעוזריו,
וכן בינו ובין בונה מראות מתחרה בשם Giovanni degli Specchi.","During his stay in Rome (1513-1516), where he was in the service of Guilano de Medici, the brother of Pope Leo X,
Leonardo studied the optics of mirrors and techniques for producing them. His writings of that period relate tensions 
and quarrels between him and one of his assistants, as well as between Leonardo and a competitor by the name of Giovanni degli Specchi.","خلال الفترة التّي قضاها في روما، عند خدمته لجوليانو دي ميديشي، شقيق البابا ليو العاشر، بحث
ليوناردو في علم بصريات المرايا وتقنيات البناء. تروي كتاباته في تلك الفترة عن التوترات والنزاعات بينه وبين
أحد مساعديه، وبينه وبين صانع المرايا المنافس الذي يدعى جيوفاني ديغلي سبيشي."
DOT_24_HEADER,מכונת ליטוש מראות,Polishing Mirrors,تلميع المرايا
DOT_24_TEXT,"בתקופתו ברומא תכנן לאונרדו מכונות שונות ללטוש מראות קעורות. 
מראות אלו, היכולות לרכז אור וחום בנקודה מסוימת, 
עניינו את לאונרדו שקיווה להשתמש בהם כמנגנון חימום לשימושים תעשייתיים וצבאיים.  ","During his time in Rome, Leonardo designed various machines for polishing concave mirrors. Concave mirrors, 
that are able to focus light and heat in specific points, were of interest to Leonardo who hoped to use them 
as sources of heat for industrial and military uses.  ","خلال فترة وجوده في روما، صمم ليوناردو آلات مختلفة لتلميع المرايا المقعرة. هذه المرايا،
الّتي يمكن أن تركز الضوء والحرارة في نقطة ما، كانت موضع إهتمام ليوناردو الذي كان يأمل في
إستخدامها كآلية تدفئة للاستخدامات الصناعية والعسكرية."
DOT_25_HEADER,אריה מכאני שני,Second Mechanical Lion,الأسد الميكانيكي الثاني
DOT_25_TEXT,"ב1515 בנה לאונרדו אריה מכני שני, עבור קבלת פנים שהעיר ליון ערכה למלך צרפת החדש פרנסואה ה-I.
על פי עדויות, ה""אריה"" הילך, התיישב ובפתח בחזה שלו הופיעו פרחים.
באותה שנה הציע פרנסואה ללאונרדו קצבה נדיבה לעבור לצרפת ולשמש כיועצו.","In 1515 Leonardo designed a second mechanical lion, to welcome the new King of France, Francis I, to Lyon.
The ""lion"", reportedly, walked, sat, and produced flowers from its chest.
That same year, Francois invited Leonardo to join him in France.","في عام 1515 بنى ليوناردو أسدًا ميكانيكيًا ثانيًا، للإستقبال الذي قامت به مدينة ليون للملك الفرنسي الجديد فرانسوا
 الأول. ووفقًا للأدلة، سار ""الأسد، وجلس، وظهرت الزهور في فتحة من صدره. في تلك السنة عرض فرانسوا على ليوناردو
مبلغا سخيًا للانتقال إلى فرنسا والعمل مستشارًا له."
DOT_26_HEADER,"ציורי ה""מבול""",Drawings of the Deluge,"رسومات ""الطوفان"""
